Date,Last,Open,High,Low
12/31/2014,32.904,32.98,32.99,32.883
1/1/2015,32.904,32.98,32.99,32.883
1/2/2015,32.904,32.98,32.99,32.883
1/5/2015,32.97,32.915,33.06,32.915
1/6/2015,32.89,32.96,33.05,32.88
1/7/2015,32.9,32.87,32.925,32.855
1/8/2015,32.9,32.9,32.912,32.87
1/9/2015,32.9,32.86,32.905,32.845
1/12/2015,32.868,32.875,32.875,32.835
1/13/2015,32.85,32.863,32.865,32.847
1/14/2015,32.8,32.853,32.853,32.784
1/15/2015,32.765,32.75,32.78,32.743
1/16/2015,32.64,32.77,32.77,32.605
1/19/2015,32.59,32.555,32.6,32.51
1/20/2015,32.72,32.59,32.775,32.59
1/21/2015,32.603,32.74,32.75,32.57
1/22/2015,32.6,32.605,32.63,32.55
1/23/2015,32.612,32.605,32.64,32.565
1/26/2015,32.583,32.61,32.61,32.542
1/27/2015,32.54,32.725,32.825,32.54
1/28/2015,32.54,32.6,32.65,32.53
1/29/2015,32.696,32.575,32.696,32.575
1/30/2015,32.74,32.76,32.76,32.69
2/2/2015,32.58,32.695,32.725,32.535
2/3/2015,32.64,32.54,32.645,32.495
2/4/2015,32.63,32.61,32.635,32.567
2/5/2015,32.64,32.59,32.64,32.585
2/6/2015,32.53,32.597,32.597,32.53
2/9/2015,32.62,32.545,32.64,32.53
2/10/2015,32.61,32.64,32.65,32.586
2/11/2015,32.643,32.63,32.655,32.625
2/12/2015,32.68,32.665,32.725,32.64
2/13/2015,32.61,32.63,32.635,32.58
2/16/2015,32.6,32.61,32.613,32.585
2/17/2015,32.555,32.605,32.605,32.554
2/18/2015,32.58,32.555,32.595,32.545
2/19/2015,32.545,32.56,32.57,32.537
2/20/2015,32.57,32.525,32.572,32.525
2/23/2015,32.594,32.57,32.625,32.54
2/24/2015,32.58,32.58,32.585,32.559
2/25/2015,32.526,32.545,32.573,32.521
2/26/2015,32.324,32.52,32.535,32.313
2/27/2015,32.33,32.37,32.395,32.325
3/2/2015,32.33,32.33,32.4,32.327
3/3/2015,32.34,32.36,32.373,32.34
3/4/2015,32.34,32.36,32.373,32.34
3/5/2015,32.425,32.35,32.425,32.35
3/6/2015,32.436,32.43,32.442,32.401
3/9/2015,32.565,32.445,32.58,32.445
3/10/2015,32.695,32.59,32.73,32.59
3/11/2015,32.92,32.69,32.935,32.665
3/12/2015,32.805,32.905,32.93,32.795
3/13/2015,32.91,32.83,32.91,32.785
3/16/2015,32.94,32.9,32.945,32.88
3/17/2015,32.905,32.945,32.945,32.885
3/18/2015,32.92,32.9,32.92,32.893
3/19/2015,32.74,32.675,32.771,32.675
3/20/2015,32.752,32.752,32.79,32.66
3/23/2015,32.555,32.58,32.662,32.504
3/24/2015,32.503,32.495,32.584,32.469
3/25/2015,32.565,32.522,32.573,32.455
3/26/2015,32.537,32.53,32.625,32.505
3/27/2015,32.595,32.607,32.615,32.507
3/30/2015,32.563,32.61,32.643,32.539
3/31/2015,32.533,32.555,32.577,32.515
4/1/2015,32.525,32.54,32.558,32.455
4/2/2015,32.488,32.417,32.51,32.408
4/3/2015,32.495,32.43,32.53,32.43
4/6/2015,32.495,32.43,32.53,32.43
4/7/2015,32.57,32.51,32.585,32.445
4/8/2015,32.55,32.585,32.605,32.5
4/9/2015,32.545,32.555,32.63,32.51
4/10/2015,32.554,32.575,32.58,32.495
4/13/2015,32.57,32.54,32.64,32.53
4/14/2015,32.48,32.56,32.56,32.47
4/15/2015,32.42,32.475,32.52,32.4
4/16/2015,32.41,32.37,32.496,32.37
4/17/2015,32.38,32.4,32.417,32.374
4/20/2015,32.385,32.38,32.403,32.33
4/21/2015,32.38,32.41,32.438,32.375
4/22/2015,32.353,32.375,32.432,32.32
4/23/2015,32.47,32.385,32.487,32.357
4/24/2015,32.541,32.445,32.56,32.41
4/27/2015,32.69,32.535,32.705,32.507
4/28/2015,32.61,32.6,32.698,32.588
4/29/2015,32.842,32.625,32.85,32.525
4/30/2015,32.965,32.85,32.98,32.76
5/1/2015,33.06,33.035,33.15,32.966
5/4/2015,33.34,33.155,33.36,33.155
5/5/2015,33.4,33.33,33.46,33.3
5/6/2015,33.331,33.405,33.405,33.14
5/7/2015,33.56,33.345,33.57,33.255
5/8/2015,33.52,33.53,33.59,33.475
5/11/2015,33.69,33.516,33.72,33.5
5/12/2015,33.805,33.72,33.895,33.68
5/13/2015,33.6,33.695,33.77,33.577
5/14/2015,33.507,33.535,33.58,33.32
5/15/2015,33.533,33.47,33.616,33.461
5/18/2015,33.32,33.51,33.56,33.29
5/19/2015,33.412,33.395,33.449,33.34
5/20/2015,33.57,33.515,33.67,33.435
5/21/2015,33.44,33.605,33.62,33.412
5/22/2015,33.353,33.415,33.445,33.327
5/25/2015,33.58,33.47,33.594,33.44
5/26/2015,33.73,33.585,33.787,33.548
5/27/2015,33.83,33.73,33.84,33.695
5/28/2015,33.795,33.778,33.9,33.71
5/29/2015,33.655,33.798,33.835,33.64
6/1/2015,33.68,33.688,33.751,33.635
6/2/2015,33.8,33.688,33.818,33.661
6/3/2015,33.69,33.722,33.815,33.62
6/4/2015,33.73,33.662,33.775,33.631
6/5/2015,33.73,33.735,33.78,33.698
6/8/2015,33.83,33.915,33.927,33.8
6/9/2015,33.73,33.775,33.82,33.71
6/10/2015,33.667,33.715,33.756,33.615
6/11/2015,33.729,33.61,33.748,33.585
6/12/2015,33.745,33.705,33.785,33.658
6/15/2015,33.74,33.68,33.748,33.645
6/16/2015,33.693,33.68,33.734,33.65
6/17/2015,33.71,33.693,33.72,33.643
6/18/2015,33.61,33.616,33.705,33.59
6/19/2015,33.68,33.65,33.695,33.614
6/22/2015,33.643,33.653,33.72,33.62
6/23/2015,33.74,33.685,33.76,33.662
6/24/2015,33.772,33.76,33.805,33.725
6/25/2015,33.772,33.79,33.81,33.755
6/26/2015,33.785,33.765,33.804,33.732
6/29/2015,33.83,33.845,33.899,33.816
6/30/2015,33.769,33.763,33.845,33.726
7/1/2015,33.79,33.79,33.83,33.72
7/2/2015,33.795,33.825,33.838,33.763
7/3/2015,33.798,33.787,33.82,33.735
7/6/2015,33.842,33.776,33.86,33.756
7/7/2015,33.938,33.847,33.99,33.814
7/8/2015,33.997,33.982,34.057,33.946
7/9/2015,33.965,33.955,34.007,33.918
7/10/2015,33.944,33.93,33.97,33.895
7/13/2015,34,33.938,34.014,33.909
7/14/2015,34.037,34.02,34.069,33.98
7/15/2015,34.082,34.04,34.09,34.01
7/16/2015,34.2,34.156,34.229,34.1
7/17/2015,34.15,34.193,34.22,34.132
7/20/2015,34.424,34.22,34.44,34.155
7/21/2015,34.482,34.465,34.505,34.38
7/22/2015,34.653,34.447,34.66,34.404
7/23/2015,34.73,34.71,34.908,34.655
7/24/2015,34.94,34.78,34.98,34.745
7/27/2015,34.859,34.888,34.939,34.807
7/28/2015,34.91,34.865,34.943,34.82
7/29/2015,34.93,34.838,34.96,34.809
7/30/2015,35.121,34.975,35.178,34.971
7/31/2015,35.207,35.135,35.275,35.097
8/3/2015,35.065,35.063,35.245,34.997
8/4/2015,35.04,35.07,35.147,35.03
8/5/2015,35.17,35.085,35.177,35.022
8/6/2015,35.18,35.178,35.204,35.105
8/7/2015,35.17,35.112,35.2,35.099
8/10/2015,35.175,35.165,35.188,35.075
8/11/2015,35.36,35.095,35.379,35.045
8/12/2015,35.344,35.35,35.555,35.28
8/13/2015,35.217,35.275,35.327,35.15
8/14/2015,35.26,35.175,35.342,35.145
8/17/2015,35.394,35.27,35.401,35.27
8/18/2015,35.57,35.542,35.64,35.48
8/19/2015,35.575,35.57,35.651,35.509
8/20/2015,35.63,35.553,35.658,35.505
8/21/2015,35.662,35.592,35.722,35.579
8/24/2015,35.768,35.605,35.835,35.589
8/25/2015,35.513,35.675,35.722,35.49
8/26/2015,35.64,35.563,35.69,35.544
8/27/2015,35.65,35.643,35.693,35.6
8/28/2015,35.861,35.662,35.905,35.63
8/31/2015,35.853,35.835,35.909,35.815
9/1/2015,35.732,35.833,35.865,35.686
9/2/2015,35.772,35.735,35.8,35.709
9/3/2015,35.85,35.757,35.869,35.72
9/4/2015,35.86,35.838,35.876,35.807
9/7/2015,36.118,35.99,36.125,35.805
9/8/2015,36.17,36.125,36.23,36.104
9/9/2015,36.075,36.015,36.123,35.938
9/10/2015,36.14,36.17,36.26,36.105
