Date	PX_LAST	PX_OPEN	PX_HIGH	PX_LOW
31/12/2014	32.904	32.98	32.99	32.883
01/01/2015	32.904	32.98	32.99	32.883
02/01/2015	32.904	32.98	32.99	32.883
05/01/2015	32.97	32.915	33.06	32.915
06/01/2015	32.89	32.96	33.05	32.88
07/01/2015	32.9	32.87	32.925	32.855
08/01/2015	32.9	32.9	32.912	32.87
09/01/2015	32.9	32.86	32.905	32.845
12/01/2015	32.868	32.875	32.875	32.835
13/01/2015	32.85	32.863	32.865	32.847
14/01/2015	32.8	32.853	32.853	32.784
15/01/2015	32.765	32.75	32.78	32.743
16/01/2015	32.64	32.77	32.77	32.605
19/01/2015	32.59	32.555	32.6	32.51
20/01/2015	32.72	32.59	32.775	32.59
21/01/2015	32.603	32.74	32.75	32.57
22/01/2015	32.6	32.605	32.63	32.55
23/01/2015	32.612	32.605	32.64	32.565
26/01/2015	32.583	32.61	32.61	32.542
27/01/2015	32.54	32.725	32.825	32.54
28/01/2015	32.54	32.6	32.65	32.53
29/01/2015	32.696	32.575	32.696	32.575
30/01/2015	32.74	32.76	32.76	32.69
02/02/2015	32.58	32.695	32.725	32.535
03/02/2015	32.64	32.54	32.645	32.495
04/02/2015	32.63	32.61	32.635	32.567
05/02/2015	32.64	32.59	32.64	32.585
06/02/2015	32.53	32.597	32.597	32.53
09/02/2015	32.62	32.545	32.64	32.53
10/02/2015	32.61	32.64	32.65	32.586
11/02/2015	32.643	32.63	32.655	32.625
12/02/2015	32.68	32.665	32.725	32.64
13/02/2015	32.61	32.63	32.635	32.58
16/02/2015	32.6	32.61	32.613	32.585
17/02/2015	32.555	32.605	32.605	32.554
18/02/2015	32.58	32.555	32.595	32.545
19/02/2015	32.545	32.56	32.57	32.537
20/02/2015	32.57	32.525	32.572	32.525
23/02/2015	32.594	32.57	32.625	32.54
24/02/2015	32.58	32.58	32.585	32.559
25/02/2015	32.526	32.545	32.573	32.521
26/02/2015	32.324	32.52	32.535	32.313
27/02/2015	32.33	32.37	32.395	32.325
02/03/2015	32.33	32.33	32.4	32.327
03/03/2015	32.34	32.36	32.373	32.34
04/03/2015	32.34	32.36	32.373	32.34
05/03/2015	32.425	32.35	32.425	32.35
06/03/2015	32.436	32.43	32.442	32.401
09/03/2015	32.565	32.445	32.58	32.445
10/03/2015	32.695	32.59	32.73	32.59
11/03/2015	32.92	32.69	32.935	32.665
12/03/2015	32.805	32.905	32.93	32.795
13/03/2015	32.91	32.83	32.91	32.785
16/03/2015	32.94	32.9	32.945	32.88
17/03/2015	32.905	32.945	32.945	32.885
18/03/2015	32.92	32.9	32.92	32.893
19/03/2015	32.74	32.675	32.771	32.675
20/03/2015	32.752	32.752	32.79	32.66
23/03/2015	32.555	32.58	32.662	32.504
24/03/2015	32.503	32.495	32.584	32.469
25/03/2015	32.565	32.522	32.573	32.455
26/03/2015	32.537	32.53	32.625	32.505
27/03/2015	32.595	32.607	32.615	32.507
30/03/2015	32.563	32.61	32.643	32.539
31/03/2015	32.533	32.555	32.577	32.515
01/04/2015	32.525	32.54	32.558	32.455
02/04/2015	32.488	32.417	32.51	32.408
03/04/2015	32.495	32.43	32.53	32.43
06/04/2015	32.495	32.43	32.53	32.43
07/04/2015	32.57	32.51	32.585	32.445
08/04/2015	32.55	32.585	32.605	32.5
09/04/2015	32.545	32.555	32.63	32.51
10/04/2015	32.554	32.575	32.58	32.495
13/04/2015	32.57	32.54	32.64	32.53
14/04/2015	32.48	32.56	32.56	32.47
15/04/2015	32.42	32.475	32.52	32.4
16/04/2015	32.41	32.37	32.496	32.37
17/04/2015	32.38	32.4	32.417	32.374
20/04/2015	32.385	32.38	32.403	32.33
21/04/2015	32.38	32.41	32.438	32.375
22/04/2015	32.353	32.375	32.432	32.32
23/04/2015	32.47	32.385	32.487	32.357
24/04/2015	32.541	32.445	32.56	32.41
27/04/2015	32.69	32.535	32.705	32.507
28/04/2015	32.61	32.6	32.698	32.588
29/04/2015	32.842	32.625	32.85	32.525
30/04/2015	32.965	32.85	32.98	32.76
01/05/2015	33.06	33.035	33.15	32.966
04/05/2015	33.34	33.155	33.36	33.155
05/05/2015	33.4	33.33	33.46	33.3
06/05/2015	33.331	33.405	33.405	33.14
07/05/2015	33.56	33.345	33.57	33.255
08/05/2015	33.52	33.53	33.59	33.475
11/05/2015	33.69	33.516	33.72	33.5
12/05/2015	33.805	33.72	33.895	33.68
13/05/2015	33.6	33.695	33.77	33.577
14/05/2015	33.507	33.535	33.58	33.32
15/05/2015	33.533	33.47	33.616	33.461
18/05/2015	33.32	33.51	33.56	33.29
19/05/2015	33.412	33.395	33.449	33.34
20/05/2015	33.57	33.515	33.67	33.435
21/05/2015	33.44	33.605	33.62	33.412
22/05/2015	33.353	33.415	33.445	33.327
25/05/2015	33.58	33.47	33.594	33.44
26/05/2015	33.73	33.585	33.787	33.548
27/05/2015	33.83	33.73	33.84	33.695
28/05/2015	33.795	33.778	33.9	33.71
29/05/2015	33.655	33.798	33.835	33.64
01/06/2015	33.68	33.688	33.751	33.635
02/06/2015	33.8	33.688	33.818	33.661
03/06/2015	33.69	33.722	33.815	33.62
04/06/2015	33.73	33.662	33.775	33.631
05/06/2015	33.73	33.735	33.78	33.698
08/06/2015	33.83	33.915	33.927	33.8
09/06/2015	33.73	33.775	33.82	33.71
10/06/2015	33.667	33.715	33.756	33.615
11/06/2015	33.729	33.61	33.748	33.585
12/06/2015	33.745	33.705	33.785	33.658
15/06/2015	33.74	33.68	33.748	33.645
16/06/2015	33.693	33.68	33.734	33.65
17/06/2015	33.71	33.693	33.72	33.643
18/06/2015	33.61	33.616	33.705	33.59
19/06/2015	33.68	33.65	33.695	33.614
